EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain,,,,,,,,,,,,
0,175.25,-4.269249057,5,-433.067715,746,0,2473.445152,112640,0,1.3930739,5.02E-05,0.000837419,0.011208106,0.011208106,,,,,,,,,,,,
0,179.2,-4.230784279,5,-434.5583149,751,0,2495.82278,113664,0,1.3938822,-3.37E-05,0.000902656,0.012580816,0.012580816,,,,,,,,,,,,
0,183.9,-3.587721189,5,-406.9146565,756,0,2518.58062,114688,0,1.3960975,0.001945496,0.000864464,0.012717566,0.012717566,,,,,,,,,,,,
0,179.2,-4.022275244,5,-434.8060742,761,0,2541.619028,115712,0,1.4188254,0.000107408,0.000847109,0.012857613,0.012857613,,,,,,,,,,,,
0,187.125,-3.465614721,4,-393.3441675,765,0,2564.906896,116736,0,1.399615,0.001544237,0.00085417,0.012430224,0.012430224,,,,,,,,,,,,
0,197.95,-2.885487781,5,-367.4853913,770,0,2587.451199,117760,0,1.4060006,9.64E-05,0.000896299,0.011429289,0.011429289,,,,,,,,,,,,
0,188.225,-3.391919523,8,-378.376694,778,0,2610.394588,118784,0,1.4158947,-1.25E-05,0.00084799,0.012945317,0.012945317,,,,,,,,,,,,
0,191.9,-3.384496828,5,-364.9932068,783,0,2632.757859,119808,0,1.4079349,-1.56E-05,0.000782708,0.009550983,0.009550983,,,,,,,,,,,,
0,203.425,-2.978688538,4,-339.2898698,787,0,2655.831395,120832,0,1.4413652,0.000938177,0.000899378,0.013020428,0.013020428,,,,,,,,,,,,
0,202.6,-3.031744155,5,-339.0947041,792,0,2678.499764,121856,0,1.4527192,-2.24E-05,0.000852897,0.013820668,0.013820668,,,,,,,,,,,,
0,203.85,-2.836122251,5,-339.636601,797,0,2701.409213,122880,0,1.4201765,-4.77E-06,0.000780625,0.009207111,0.009207111,,,,,,,,,,,,
0,197.3,-2.929499231,5,-335.2897401,802,0,2724.000233,123904,0,1.4447824,-2.62E-06,0.000771855,0.012705419,0.012705419,,,,,,,,,,,,
0,202.25,-2.838375342,4,-337.0756665,806,0,2746.719614,124928,0,1.4544231,3.96E-05,0.000853055,0.011774019,0.011774019,,,,,,,,,,,,
0,198.675,-3.314570893,7,-336.2056536,813,0,2769.39014,125952,0,1.4710784,1.20E-05,0.000818298,0.012358112,0.012358112,,,,,,,,,,,,
0,204.8,-3.287093141,5,-338.8388396,818,0,2792.359858,126976,0,1.4609053,-0.000102401,0.000816212,0.013604109,0.013604109,,,,,,,,,,,,
0,204.8,-3.338936962,5,-353.5185519,823,0,2815.943204,128000,0,1.3625975,6.93E-05,0.000868962,0.011359352,0.011359352,,,,,,,,,,,,
0,196.3,-3.491817829,6,-364.2368531,829,0,2838.638041,129024,0,1.3794408,3.81E-06,0.000868507,0.010703057,0.010703057,,,,,,,,,,,,
0,187.325,-4.301552517,6,-390.4927663,835,0,2861.796634,130048,0,1.4263031,-5.05E-05,0.000848574,0.012949025,0.012949025,,,,,,,,,,,,
0,171.7,-5.327565651,8,-429.3245942,843,0,2885.095346,131072,0,1.3491087,-4.65E-06,0.000802203,0.011901586,0.011901586,,,,,,,,,,,,
0,174.175,-4.632431997,6,-430.70145,849,0,2908.151275,132096,0,1.4186796,-2.98E-05,0.000829294,0.011139575,0.011139575,,,,,,,,,,,,
0,171.7,-5.056041474,5,-444.2961568,854,0,2930.811312,133120,0,1.4104152,6.56E-06,0.000836619,0.013338907,0.013338907,,,,,,,,,,,,
0,179.2,-4.590221482,4,-417.03684,858,0,2954.259401,134144,0,1.3983166,-2.86E-06,0.000888893,0.012063997,0.012063997,,,,,,,,,,,,
0,179.2,-4.49655079,5,-416.1853504,863,0,2977.335195,135168,0,1.3699594,-3.10E-06,0.000843532,0.013801225,0.013801225,,,,,,,,,,,,
0,179.2,-4.565808018,6,-401.5819572,869,0,3000.260365,136192,0,1.2631431,9.89E-06,0.000781347,0.013204034,0.013204034,,,,,,,,,,,,
0,186,-3.673332682,5,-358.627684,874,0,3022.742452,137216,0,1.3269198,2.25E-05,0.000914946,0.009734069,0.009734069,,,,,,,,,,,,
0,195.875,-2.823056331,5,-318.0143673,879,0,3045.74927,138240,0,1.3930163,9.54E-07,0.00082348,0.01254882,0.01254882,,,,,,,,,,,,
0,190.95,-3.675276066,7,-316.9430299,886,0,3069.033531,139264,0,1.3426774,-0.000151038,0.000783039,0.012779326,0.012779326,,,,,,,,,,,,
0,196.4,-3.569214001,5,-304.3394847,891,0,3091.955669,140288,0,1.4779252,-3.36E-05,0.000926585,0.012955346,0.012955346,,,,,,,,,,,,
0,183.9,-4.25521619,6,-313.9955952,897,0,3115.013899,141312,0,1.4133012,-1.45E-05,0.000811348,0.00993925,0.00993925,,,,,,,,,,,,
0,164.2,-5.435147017,8,-336.8422666,905,0,3137.678942,142336,0,1.29561,7.75E-06,0.000866133,0.010129464,0.010129464,,,,,,,,,,,,
0,161.375,-5.994825708,7,-350.5715321,912,0,3159.935286,143360,0,1.3279836,-1.53E-05,0.000844553,0.011318054,0.011318054,,,,,,,,,,,,
0,155.025,-6.288891674,6,-393.2435388,918,0,3182.334692,144384,0,1.3871653,4.95E-06,0.000830154,0.011983489,0.011983489,,,,,,,,,,,,
0,160.45,-6.077211324,6,-395.5322691,924,0,3204.989946,145408,0,1.3745642,-4.35E-05,0.000853329,0.010893166,0.010893166,,,,,,,,,,,,
0,160,-5.840191912,6,-394.15739,930,0,3228.192211,146432,0,1.2822576,1.14E-05,0.000882161,0.012531407,0.012531407,,,,,,,,,,,,
0,160.675,-5.732626273,4,-379.010986,934,0,3250.589381,147456,0,1.3130767,0.000325024,0.000848068,0.01342935,0.01342935,,,,,,,,,,,,
0,174.975,-4.976983498,4,-353.9627056,938,0,3273.861959,148480,0,1.3018475,3.18E-05,0.000934522,0.015683211,0.015683211,,,,,,,,,,,,
0,179.775,-4.861676043,6,-340.9477298,944,0,3296.391593,149504,0,1.3786819,-1.91E-06,0.000782492,0.010796735,0.010796735,,,,,,,,,,,,
0,187.4,-4.396909313,5,-329.4526159,949,0,3318.994459,150528,0,1.2999294,-0.000527859,0.000813678,0.01156889,0.01156889,,,,,,,,,,,,
0,195.325,-4.127692348,5,-286.80846,954,0,3342.152834,151552,0,1.238064,5.48E-05,0.000798542,0.017366838,0.017366838,,,,,,,,,,,,
0,204.8,-3.870190819,4,-274.9659782,958,0,3365.78811,152576,0,1.3336304,-1.56E-05,0.000868548,0.013948555,0.013948555,,,,,,,,,,,,
0,209.05,-3.467574087,5,-261.8815324,963,0,3388.394925,153600,0,1.4102135,-1.47E-05,0.000897334,0.012497524,0.012497524,,,,,,,,,,,,
0,214.95,-3.027237597,5,-233.5166605,968,0,3411.477291,154624,0,1.31605,1.51E-05,0.000795628,0.018708609,0.018708609,,,,,,,,,,,,
0,207.9,-3.386060804,5,-246.1602859,973,0,3433.617882,155648,0,1.2751714,2.55E-05,0.000813127,0.010890719,0.010890719,,,,,,,,,,,,
0,208.825,-3.394607117,4,-246.7778515,977,0,3456.098557,156672,0,1.3056991,2.33E-05,0.000925985,0.010754474,0.010754474,,,,,,,,,,,,
0,218.525,-2.37974728,5,-219.0211362,982,0,3478.296407,157696,0,1.2555875,7.18E-05,0.000936578,0.010262072,0.010262072,,,,,,,,,,,,
0,215.4,-2.37924812,4,-217.5695511,986,0,3501.136945,158720,0,1.3649627,0.000307202,0.000887354,0.013199432,0.013199432,,,,,,,,,,,,
0,222.9,-2.205801239,4,-205.470331,990,0,3523.616313,159744,0,1.2733443,0.000250876,0.000771173,0.011657856,0.011657856,,,,,,,,,,,,
0,230.4,-1.784417401,4,-208.3078094,994,0,3546.124293,160768,0,1.3448708,-1.32E-05,0.000905631,0.008686691,0.008686691,,,,,,,,,,,,
0,222.9,-1.903017121,5,-221.5319208,999,0,3568.847402,161792,0,1.3405625,-1.81E-05,0.000891277,0.010812519,0.010812519,,,,,,,,,,,,
0,221.925,-1.684426819,6,-220.5141757,1005,0,3591.332343,162816,0,1.3407263,1.37E-05,0.00088129,0.011157376,0.011157376,,,,,,,,,,,,
0,215.4,-1.800312059,5,-231.8120808,1010,0,3614.608141,163840,0,1.2933366,6.56E-06,0.000793326,0.010741753,0.010741753,,,,,,,,,,,,
0,204.8,-2.505100268,7,-257.4343126,1017,0,3636.900076,164864,0,1.2391508,9.36E-06,0.000822023,0.013438012,0.013438012,,,,,,,,,,,,
0,204.8,-2.4764314,5,-258.304617,1022,0,3659.85404,165888,0,1.2978526,-0.019263268,0.000820519,0.013965923,0.013965923,,,,,,,,,,,,
0,204.8,-2.474824549,4,-258.1075106,1026,0,3682.35125,166912,0,1.3224354,0.000367105,0.000864197,0.010514559,0.010514559,,,,,,,,,,,,
0,197.3,-2.631699808,5,-271.0018833,1031,0,3705.062165,167936,0,1.3566608,-1.56E-05,0.000898559,0.013952298,0.013952298,,,,,,,,,,,,
0,201.025,-2.5066647,4,-257.7758331,1035,0,3728.079036,168960,0,1.3626,-1.19E-05,0.000829314,0.009357801,0.009357801,,,,,,,,,,,,
0,200.325,-2.609121681,6,-241.7714934,1041,0,3751.017904,169984,0,1.3633988,2.38E-06,0.0008232,0.009863274,0.009863274,,,,,,,,,,,,
