mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-11.177156071510126,226,11600,86.68,-701.1,-701.1286289700001,0.0003,51,152,11500,0.031341143,-11.329394,150.07936,2.5409818,8.212689,0.006196498,7.83708
-11.220946982467165,228,11700,85.63,-701.0,-700.9966024400002,0.0003,51,153,11600,0.0304167,-11.508404,151.29672,2.5833063,7.9263525,0.03262287,7.558441
-11.19082475519038,230,11800,85.9,-701.0,-700.96484656,0.0003,51,154,11700,0.02951806,-11.649984,152.6282,2.524932,7.911715,0.0020540296,7.5910845
-11.234393345870354,232,11900,85.76,-698.6,-698.63781084,0.0003,51,156,11800,0.02864449,-11.751114,153.83083,2.4818459,7.575183,0.00015204393,7.262965
-11.234393345870354,234,12000,85.76,-698.6,-698.63781084,0.0003,51,156,11900,0.02779779,-11.953277,155.14478,2.5723448,6188.636,0.0010957511,6190.757
-11.14158306869088,236,12100,87.22,-700.4,-700.3883317799998,0.0003,51,157,12000,0.026972944,-12.135166,156.56395,2.46413,1542.8068,0.0010959601,1543.0674
-11.20320147546863,238,12200,86.83,-700.4,-700.4378849100001,0.0003,51,159,12100,0.026174538,-12.129331,157.59534,2.5893598,7.4919453,4.3433705e-05,7.3011785
-11.476027471532143,240,12300,85.55,-700.1,-700.14097739,0.0003,51,162,12200,0.02540146,-12.294819,158.82071,2.5744126,3046.661,0.00082688837,3047.4463
-11.334722498509189,242,12400,86.35,-703.4,-703.40105593,0.0003,51,163,12300,0.024649613,-12.2005415,160.26215,2.5572944,7.9816074,0.0008209207,7.797749
-11.303318030003977,244,12500,86.58,-704.4,-704.3903431800001,0.0003,51,164,12400,0.02391983,-12.299037,161.77936,2.504003,1508.9795,0.00015727594,1509.2911
-11.348788610281314,246,12600,86.59,-701.7,-701.6942639199998,0.0003,51,166,12500,0.02321291,-12.632677,163.04468,2.5666685,7.706295,0.0014816321,7.4433837
-11.28408373679519,248,12700,86.88,-699.9,-699.8745092799999,0.0003,51,167,12600,0.022526886,-12.674297,164.2475,2.5840743,1492.038,0.0032552783,1492.4006
-11.284960079434443,250,12800,86.97,-700.6,-700.5860264099997,0.0003,51,168,12700,0.021861674,-12.741206,165.58212,2.5618525,8.271631,0.0021170303,7.993212
-11.227493211505092,252,12900,86.47,-695.3,-695.25908434,0.0003,51,170,12800,0.02121777,-13.024198,166.90193,2.5279384,2934.8345,0.001546434,2935.2378
-11.341689950578722,254,13000,86.2,-694.7,-694.65843179,0.0003,51,172,12900,0.02059208,-13.403896,168.28647,2.5337858,7.815337,0.0005798916,7.5116186
-11.465683187753353,256,13100,85.73,-694.1,-694.1078783300003,0.0003,51,175,13000,0.019990869,-12.9906645,169.57166,2.4607456,1455.0463,0.00070721144,1455.3558
-11.531230325995962,258,13200,85.37,-693.8,-693.82186774,0.0003,51,176,13100,0.019404432,-13.12377,171.01631,2.5637012,1443.1577,0.002459243,1443.0227
-11.766925557277112,259,13300,84.14,-692.6,-692.5976602100001,0.0003,51,179,13200,0.018832646,-12.847984,172.7901,2.4377213,1435.5728,0.001075849,1435.9412
-11.915508314274199,261,13400,83.46,-692.9,-692.85805551,0.0003,51,180,13300,0.01827828,-13.112547,174.03165,2.4931386,9.697363,0.0055452203,9.465382
-11.915369374145165,263,13500,83.81,-693.8,-693.8133561400001,0.0003,51,182,13400,0.017745737,-13.346457,175.38948,2.5367546,8.925152,0.0025111432,8.698118
