total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
13500,340,107.22,13400,39,-648.9998047400001,0.0003,-12.312433935807533,-649.0,162,147.61087,1.6747878,59.606365,57.879738,-0.27330935,29.229511,0.058634322
13600,343,109.86,13500,39,-644.1411384099999,0.0003,-12.14056703922969,-644.1,163,154.51978,1.6884385,47.67818,37.83795,0.012849927,46.4318,0.05799331
13700,345,109.36,13600,39,-643.3208664299999,0.0003,-12.20924625578006,-643.3,164,147.91507,1.7215459,167.20851,165.19174,3.2012043,4.8869843,0.058717713
13800,348,109.36,13700,39,-643.3208664299999,0.0003,-12.20924625578006,-643.3,164,146.31491,1.6995198,885.24,875.3695,0.061147988,11.64425,0.059643447
13900,350,109.36,13800,39,-643.3208664299999,0.0003,-12.20924625578006,-643.3,164,144.1028,1.4998477,11.564806,10.7307825,1.8020129,50.65371,0.060874093
14000,353,112.18,13900,39,-647.9861280599999,0.0003,-11.886128232752249,-648.0,165,150.29938,1.7132666,26.292492,27.925636,2.38712,16.23869,0.06407059
14100,355,112.18,14000,39,-647.9861280599999,0.0003,-11.886128232752249,-648.0,165,149.4247,1.5989779,1017.2172,1008.3132,1.5782342,2.8549786,0.065160535
14200,358,112.18,14100,39,-647.9861280599999,0.0003,-11.886128232752249,-648.0,165,148.31517,1.907712,53.866295,51.821075,2.862464,6.6591287,0.06613775
14300,360,114.67,14200,39,-643.37683217,0.0003,-11.761064938171199,-643.4,167,153.4569,1.8203965,13.968947,13.992785,4.2091875,27.618969,0.06658039
14400,363,114.67,14300,39,-643.37683217,0.0003,-11.761064938171199,-643.4,167,151.76344,1.9479668,861.8775,880.50977,1.5816537,49.19704,0.066283315
14500,365,114.67,14400,39,-643.37683217,0.0003,-11.761064938171199,-643.4,167,152.80455,1.6635754,53.248306,43.84435,-1.2084355,17.596134,0.067404106
14600,368,117.77,14500,39,-638.3170831,0.0003,-11.202364916585477,-638.3,169,146.49638,1.8682642,793.21466,789.8618,0.80641353,4.1678743,0.06757035
