episodes,mean 100 episode reward per step,% time spent exploring,steps,mean 100 episode reward
721,-7.521258406525589,2,75700,-500.3
722,-7.583597049285735,2,75800,-500.0
723,-7.628096443064607,2,75900,-505.8
723,-7.628096443064607,2,76000,-505.8
724,-7.603142144051755,2,76100,-505.9
725,-7.6444417118890415,2,76200,-505.7
725,-7.6444417118890415,2,76300,-505.7
725,-7.6444417118890415,2,76400,-505.7
726,-7.539465163604042,2,76500,-500.1
726,-7.539465163604042,2,76600,-500.1
727,-7.579368017976359,2,76700,-505.9
727,-7.579368017976359,2,76800,-505.9
727,-7.579368017976359,2,76900,-505.9
728,-7.468589125331395,2,77000,-500.1
728,-7.468589125331395,2,77100,-500.1
729,-7.495148738337613,2,77200,-506.0
729,-7.495148738337613,2,77300,-506.0
730,-7.53065810813153,2,77400,-511.7
732,-7.737190894964847,2,77500,-522.9
732,-7.737190894964847,2,77600,-522.9
732,-7.737190894964847,2,77700,-522.9
733,-7.65028716722299,2,77800,-517.7
733,-7.65028716722299,2,77900,-517.7
733,-7.65028716722299,2,78000,-517.7
734,-7.489313275004134,2,78100,-512.1
735,-7.517188226065147,2,78200,-511.9
736,-7.550460921454504,2,78300,-511.8
736,-7.550460921454504,2,78400,-511.8
736,-7.550460921454504,2,78500,-511.8
737,-7.550584938315594,2,78600,-511.8
737,-7.550584938315594,2,78700,-511.8
737,-7.550584938315594,2,78800,-511.8
738,-7.5296387703276535,2,78900,-511.9
738,-7.5296387703276535,2,79000,-511.9
739,-7.558872123627815,2,79100,-517.7
741,-7.593006021293523,2,79200,-517.6
741,-7.593006021293523,2,79300,-517.6
742,-7.576835256620493,2,79400,-517.7
742,-7.576835256620493,2,79500,-517.7
743,-7.611782596349566,2,79600,-523.6
744,-7.6472381018922375,2,79700,-523.6
745,-7.6717500280250635,2,79800,-523.6
746,-7.63423020377186,2,79900,-523.7
746,-7.63423020377186,2,80000,-523.7
746,-7.63423020377186,2,80100,-523.7
747,-7.627581189030032,2,80200,-523.9
749,-7.87605628575316,2,80300,-535.6
749,-7.87605628575316,2,80400,-535.6
749,-7.87605628575316,2,80500,-535.6
750,-7.867473562133211,2,80600,-535.5
750,-7.867473562133211,2,80700,-535.5
750,-7.867473562133211,2,80800,-535.5
751,-7.645502674672854,2,80900,-529.8
751,-7.645502674672854,2,81000,-529.8
752,-7.642628395628175,2,81100,-529.7
753,-7.705652906736531,2,81200,-535.8
753,-7.705652906736531,2,81300,-535.8
753,-7.705652906736531,2,81400,-535.8
755,-7.771300561705363,2,81500,-530.2
755,-7.771300561705363,2,81600,-530.2
756,-7.42579651053952,2,81700,-530.4
756,-7.42579651053952,2,81800,-530.4
756,-7.42579651053952,2,81900,-530.4
757,-7.394068904157413,2,82000,-524.7
757,-7.394068904157413,2,82100,-524.7
757,-7.394068904157413,2,82200,-524.7
758,-7.336371544054337,2,82300,-519.1
759,-7.321455254544231,2,82400,-519.2
759,-7.321455254544231,2,82500,-519.2
760,-7.216882176811695,2,82600,-519.3
760,-7.216882176811695,2,82700,-519.3
760,-7.216882176811695,2,82800,-519.3
761,-7.175954223823064,2,82900,-513.8
762,-6.899193185387131,2,83000,-514.0
762,-6.899193185387131,2,83100,-514.0
762,-6.899193185387131,2,83200,-514.0
763,-6.766728998766894,2,83300,-508.7
763,-6.766728998766894,2,83400,-508.7
763,-6.766728998766894,2,83500,-508.7
765,-6.866334928396925,2,83600,-513.9
765,-6.866334928396925,2,83700,-513.9
766,-6.846090481269143,2,83800,-514.0
767,-6.840100690148782,2,83900,-514.0
767,-6.840100690148782,2,84000,-514.0
768,-6.718266151182488,2,84100,-514.1
771,-7.090998024794555,2,84200,-514.1
771,-7.090998024794555,2,84300,-514.1
771,-7.090998024794555,2,84400,-514.1
772,-7.111874263738051,2,84500,-520.0
775,-6.999314111111625,2,84600,-519.7
775,-6.999314111111625,2,84700,-519.7
775,-6.999314111111625,2,84800,-519.7
776,-6.964518008258802,2,84900,-514.5
777,-6.901778442810467,2,85000,-514.6
778,-6.88407000920055,2,85100,-514.6
778,-6.88407000920055,2,85200,-514.6
779,-6.851507547414084,2,85300,-515.0
780,-6.854022414757377,2,85400,-515.0
781,-6.896416127315583,2,85500,-520.7
782,-6.871911552417552,2,85600,-520.8
783,-6.552475344868753,2,85700,-520.8
783,-6.552475344868753,2,85800,-520.8
783,-6.552475344868753,2,85900,-520.8
784,-6.502812545264748,2,86000,-515.0
785,-6.4901633654102975,2,86100,-515.0
786,-6.184935077565094,2,86200,-515.1
787,-6.159921851419309,2,86300,-515.1
788,-6.18817036507001,2,86400,-515.0
788,-6.18817036507001,2,86500,-515.0
788,-6.18817036507001,2,86600,-515.0
789,-6.137591299671076,2,86700,-515.1
790,-6.149292449676544,2,86800,-514.9
791,-6.218487532570728,2,86900,-514.6
793,-6.450192645770235,2,87000,-514.0
793,-6.450192645770235,2,87100,-514.0
794,-6.458821613355745,2,87200,-513.8
794,-6.458821613355745,2,87300,-513.8
794,-6.458821613355745,2,87400,-513.8
795,-6.414822491418678,2,87500,-507.9
795,-6.414822491418678,2,87600,-507.9
795,-6.414822491418678,2,87700,-507.9
797,-6.626805874666768,2,87800,-501.7
799,-6.784855345053794,2,87900,-501.5
800,-6.659022200565422,2,88000,-501.8
801,-6.816602555658035,2,88100,-501.8
801,-6.816602555658035,2,88200,-501.8
802,-6.804117396585839,2,88300,-501.6
802,-6.804117396585839,2,88400,-501.6
803,-6.768469182696134,2,88500,-501.7
803,-6.768469182696134,2,88600,-501.7
803,-6.768469182696134,2,88700,-501.7
804,-6.767742969103033,2,88800,-501.5
804,-6.767742969103033,2,88900,-501.5
805,-6.782990539386675,2,89000,-501.4
805,-6.782990539386675,2,89100,-501.4
806,-6.627733894980944,2,89200,-501.5
807,-6.637969362373854,2,89300,-501.4
808,-6.587252402802474,2,89400,-501.5
809,-6.5674241270411535,2,89500,-501.6
809,-6.5674241270411535,2,89600,-501.6
810,-6.384698037693434,2,89700,-501.7
810,-6.384698037693434,2,89800,-501.7
810,-6.384698037693434,2,89900,-501.7
811,-6.356480537850307,2,90000,-496.3
813,-6.531459242861465,2,90100,-501.9
813,-6.531459242861465,2,90200,-501.9
813,-6.531459242861465,2,90300,-501.9
814,-6.49493862203889,2,90400,-496.0
814,-6.49493862203889,2,90500,-496.0
815,-6.504925907823308,2,90600,-495.9
815,-6.504925907823308,2,90700,-495.9
816,-6.516393746997197,2,90800,-495.9
817,-6.512787609276301,2,90900,-495.9
817,-6.512787609276301,2,91000,-495.9
817,-6.512787609276301,2,91100,-495.9
818,-6.480066688621873,2,91200,-490.1
818,-6.480066688621873,2,91300,-490.1
818,-6.480066688621873,2,91400,-490.1
819,-6.4799168220797005,2,91500,-490.0
820,-6.5721161205352745,2,91600,-495.7
820,-6.5721161205352745,2,91700,-495.7
820,-6.5721161205352745,2,91800,-495.7
821,-6.572420533000094,2,91900,-495.8
821,-6.572420533000094,2,92000,-495.8
821,-6.572420533000094,2,92100,-495.8
822,-6.486177058510715,2,92200,-490.1
822,-6.486177058510715,2,92300,-490.1
822,-6.486177058510715,2,92400,-490.1
823,-6.442212721115746,2,92500,-484.5
823,-6.442212721115746,2,92600,-484.5
824,-6.438581841354943,2,92700,-484.4
825,-6.426949054507263,2,92800,-484.4
825,-6.426949054507263,2,92900,-484.4
825,-6.426949054507263,2,93000,-484.4
826,-6.4478930704858275,2,93100,-490.3
827,-6.639897673229846,2,93200,-490.2
827,-6.639897673229846,2,93300,-490.2
827,-6.639897673229846,2,93400,-490.2
828,-6.639979179742561,2,93500,-490.3
828,-6.639979179742561,2,93600,-490.3
829,-6.641509587657251,2,93700,-490.3
829,-6.641509587657251,2,93800,-490.3
829,-6.641509587657251,2,93900,-490.3
830,-6.605208611221025,2,94000,-484.4
